Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Lung Cancer,0.014893960104079474,0.2820911747678858,0.91976133107551,0.18329160914770465,0.8149145902969047,0.010411187759554071,0.1727805555370811,0.06830337384544616,0.8609186654623001,0.008166075064267763,0.5011627062541457,0.2733992910637875,0.6716217443504919,0.6314350804803188,0.015555224457561275,0.07190454169864328,0.018311798939014193,0.27453100853534107,0.10477999319192566,0.48775172804762124,0.5523250585949737,0.16828339037390863,0.05833610965466748,0.5623830199580753,0.6877480928764987,0.09688075455789492,0.06955572011504577,0.6089950689035069,0.3521028755374528,0.057675229041241824,0.29855506133577736,0.695116909659675,0.21429070201556197,0.8496301717428111,0.6546006619659892,0.10207932282776762
Glioma,0.5392606415958681,0.6458414302778684,0.07177301873422348,0.5414087041629239,0.8246745902178562,0.5903647540195329,0.9263476254489242,0.1651301918709322,0.2752103082506538,0.48662009682464147,0.1856404873397685,0.4049766357933464,0.6545461480919166,0.06334616855902483,0.6692035310263941,0.0065808762813186076,0.1590402722082897,0.6000255926322248,0.5059361899657961,0.06295506720172792,0.62647644274892,0.15299210160119217,0.6046990045492111,0.4227178317435556,0.700428157568558,0.4316376135149307,0.043189955727529726,0.8954863195567724,0.10202288651139511,0.323223459662235,0.01966852229128229,0.3722261909512997,0.6195643078696491,0.025463773440471783,0.20370146518785728,0.40736061455542305
Esophageal Cancer,0.07624968847908248,0.4551697202154259,0.7930697839291405,0.4534571488990191,0.24780284490874982,0.397569859155123,0.23286356530495447,0.1836936608986879,0.8401329841149333,0.3727527778427129,0.3360608896745526,0.9549770846497847,0.8797437955816744,0.4265924179157423,0.19971124015805522,0.8243778236378613,0.5915845925279912,0.0871794573208476,0.3370007457248284,0.21823795857184677,0.17948344297550764,0.3930749931122939,0.5932933336915411,0.09581319432361446,0.6951626031358499,0.046761145702326895,0.14697401734454302,0.4752549676743846,0.8909226043767046,0.5764898720889464,0.5502334478344187,0.8432913759776878,0.11785162108888597,0.04386649848070579,0.03453637926407847,0.48803379955072457
Gastric Cancer,0.5513145890332554,0.16969526916658412,0.9070969612523143,0.7546144458867055,0.15471351094162591,0.9357392187187423,0.9302651097406684,0.7855734485881708,0.3918641249582424,0.21226481637916583,0.9154364690235781,0.662875401950145,0.21938199634220548,0.5138410528528539,0.6713707367808006,0.6408924945494561,0.9887501899369757,0.1707343550335934,0.624181677982413,0.5815962537668229,0.5466011942416222,0.5325753200749617,0.9080322595763449,0.3094434602898336,0.024773814285150422,0.8619202575128473,0.7445496437860799,0.2525886590804357,0.9451166719944468,0.39054878801410287,0.7251507830564099,0.8978413033994463,0.22183117032217686,0.9767275196007175,0.3775354683712884,0.6954997391980633
Ovarian Cancer,0.4350659680984914,0.8998475819756513,0.8006969878897388,0.32814675001182325,0.9773353951817065,0.7867372272418822,0.1416693281124332,0.5126950430848786,0.35570692045375973,0.25892079078010277,0.23643336697027725,0.5475581579229993,0.5468559946850571,0.8342432551644312,0.45860091974490713,0.43701138178124543,0.48645942559114297,0.8044002286301989,0.571890427469688,0.1185855628101459,0.813842974472858,0.07019011413528853,0.6856835421791294,0.38468927613950676,0.9360695567223045,0.8418136445926299,0.384379628121875,0.1672459011863319,0.6396260062339061,0.6447866333302277,0.2637546011845921,0.316617093578801,0.08242344247458808,0.2523957163479893,0.14822999051368274,0.47161952404403906
Bladder Cancer,0.10403796669819437,0.9132865779270147,0.7806300955564118,0.31163006573074054,0.5685324378442984,0.5100536160656162,0.34237332678092103,0.5193911494591459,0.5626487416883164,0.04386649848070579,0.8527804394339904,0.8102135187996977,0.8290244656647665,0.7115270776295912,0.18228277001095713,0.4502188848463706,0.8998461278467951,0.7416147227829833,0.5792759020081248,0.9646181660759277,0.008402700736251656,0.19971124015805522,0.044355692190527395,0.31351686150284375,0.6478231237133647,0.48546433225418195,0.8781519528747664,0.855947935071337,0.7101960521957591,0.7436342012968032,0.5300538865453848,0.5734577556418841,0.9164870430337815,0.8338234219848106,0.49061007074296004,0.5764898720889464
Lymphoma,0.16152568774929124,0.3828092779146891,0.6482567432164172,0.5574496727985991,0.3920195713751896,0.0698905435472327,0.2755829976375976,0.49656678818275735,0.8025714097364854,0.3533943137748552,0.6659770566241192,0.4046930421610909,0.980613478001889,0.6666485557645916,0.016199635296204825,0.5626679647160622,0.14724198129388433,0.9833791985207747,0.1494537102802036,0.3374765105080886,0.4153345521679068,0.5695038532105314,0.8136220145900703,0.9170543026320118,0.38578441016763765,0.07242687300250022,0.4177819688565856,0.8928949335456535,0.5109992911314991,0.6464117338186071,0.4482009100461479,0.3700840467536961,0.24172084993199136,0.8956564824686473,0.034727599886139736,0.18234972039643682
Liver Cancer,0.282057739096143,0.16517912307510418,0.4901846897803074,0.17029784933951214,0.327602317887577,0.6150373834928407,0.20019815279526967,0.5835085034918012,0.15090164160975986,0.4078283225303837,0.39631489313595236,0.3441565312196494,0.3271497678666573,0.6923435353412144,0.30708415377445275,0.691125727099112,0.11555627535468933,0.5910332159077458,0.29868783755778283,0.19465047863325086,0.7549478236684113,0.2058513345867223,0.7549478236684113,0.449541664364542,0.06909060271028518,0.4033542013374345,0.4712036133090235,0.2194550778840766,0.13045381101860304,0.4284124752380798,0.17520277793847733,0.25104612453097974,0.5835085034918012,0.09444520833913667,0.9106320314075294,0.5869771640200256
Pancreatic Cancer,0.6921432002071563,0.6353166409342704,0.1543087616301416,0.7394744330283625,0.6861637412052456,0.268789571804008,0.3760839365761647,0.17273980288384236,0.96056782540226,0.19023703896181407,0.3876458000573255,0.06651204375305679,0.6593295165821264,0.41212359942112964,0.22637310321048423,0.36698277434631055,0.5171721409505732,0.7724089026493945,0.234755078654835,0.3931114529853639,0.06271352095069951,0.28462129039214534,0.7087059024449424,0.11488585114384621,0.20399817163191383,0.2663490260365131,0.5352309155566537,0.7496196852594519,0.6017662745363634,0.8236060914905524,0.3110802095138968,0.3354050705887295,0.7955198294114418,0.3241743423860388,0.32978882691493916,0.5278593824913371
Breast Cancer,0.10234128616837344,0.6126954671755032,0.8753522322769014,0.2156146918557154,0.0037696753967866644,0.3403519679061876,0.8967504847466992,0.9329578734651678,0.307713409795561,0.23165384160951197,0.9308915050784072,0.9752884921787497,0.22668085389283701,0.02132800706944446,0.5920570685657254,0.31955039705749366,0.8757243971588846,0.11931871509471802,0.5980057525521458,0.6948283460995479,0.4362073232457152,0.6856835421791294,0.3786112367353768,0.4327378035432561,0.6466130952371427,0.9210478499029741,0.6003248944443789,0.4444475350538737,0.31279755500806083,0.34917340980583067,0.1315869122757013,0.24308121507756916,0.00029172773703300644,0.786805654749876,0.844366480356349,0.17488184064607457
Myeloma,0.08480057608167493,0.9935650421080594,0.05737899395151268,0.4143381444293843,0.3726468800362529,0.1633105777659174,0.06566315225644624,0.8527804394339904,0.1836936608986879,0.12532530659869953,0.39182514995953743,0.4378658769187531,0.9324339790470175,0.3094121208219955,0.3471515507631837,0.6131561977406332,0.797619483382576,0.8002300386859293,0.10124049007057848,0.6103019785284629,0.27312047592983046,0.11992916225916488,0.3951617721603682,0.3035834439172306,0.010660889916722198,0.20576390509564657,0.06566315225644624,0.7697391820008392,0.11888708485840495,0.8102135187996977,0.27867844240498885,0.9276511936475802,0.17261549938271942,0.19960962919605607,0.31151444912851106,0.9935650421080594
Kidney Cancer,0.4784743069143619,0.28351670883126656,0.39248958971137426,0.4159624806169534,0.9888342208735295,0.323060550603692,0.7970010758753312,0.2071410181776658,0.590260853646067,0.4202513335237501,0.8624424916554133,0.6138658528020939,0.5030059558038968,0.8630454556413771,0.4038885272768977,0.48365411508464995,0.2863443675028165,0.743109311286432,0.8844723124673912,0.3420480120478131,0.8668411213715635,0.45747702762159437,0.04507829136066887,0.5088874488261375,0.8712435420745898,0.4644227731653937,0.8077681154018477,0.5824788611326692,0.7160045730938804,0.5980864852006569,0.020943214696526852,0.8645541249166122,0.12570543108312895,0.7796810573119214,0.6459166351388024,0.7840544504932396
Colon/Colorectal Cancer,0.46424802968374546,0.17637871131147348,0.3731849762243965,0.8138050432099153,0.42833089224875964,0.0128763012806998,0.399395310566073,0.6636264492339239,0.18676888122492047,0.2269053376533286,0.8747407548143535,0.38241315804629683,0.4211239869367518,0.6383922878857684,0.9923313080160391,0.00954275607443985,0.8854068813257902,0.028164845902570745,0.2760896804771198,0.38644515770750565,0.5751865239457522,0.6072168789004394,0.770778281058961,0.5426643619071492,0.44776557228737035,0.8433932811522554,0.5981171680036812,0.9402394791505528,0.2428584172101998,0.6798019699548856,0.6723759926129019,0.9287768204146565,0.13225240847263714,0.1742367236200912,0.32596206920150006,0.09655252058523006
ALL,0.8813617120284872,0.3298186178055176,0.11871724664903666,0.4979641665061667,0.21665169795328626,0.5435259752175851,0.9325072970015154,0.20337772682094005,0.9389228669455103,0.04808676901586622,0.3683204887556274,0.10689212043935847,0.7375189840952583,0.13174562581231453,0.025539985411269166,0.16201059639566906,0.998389493821109,0.3749803911439147,0.2938468714348546,0.2768178964626149,0.7775281884531549,0.6074532587517109,0.6016929312039988,0.44284615123933957,0.8353292375193443,0.1894123670698225,0.23787902276971346,0.4331165526494354,0.5932933336915411,0.321605035459752,0.4651562978756907,0.27128359982868233,0.9742640605332525,0.08240024160942253,0.6981606006787421,0.707180750468238
Melanoma,0.9142753010242941,0.7385901589284091,0.633791257318328,0.4377802949125289,0.11124105484190235,0.09324943797938691,0.7685708333844132,0.47318124025147834,0.06684748068817732,0.414224910802633,0.5666459886324906,0.4580318952800674,0.8048110741702748,0.2573698166672112,0.010117862089776487,0.7582935447307145,0.20125302418060337,0.07698323779056818,0.7899826781168569,0.01539079231296091,0.33226441455311595,0.2102768542727219,0.29785211775391107,0.00932423544073566,0.9953990885843569,0.40484662505871294,0.41091233444498676,0.3366716640484799,0.24048032474993367,0.2000113003772993,0.06400452923255236,0.3531451007533597,0.015682331981934906,0.3024068493255754,0.8167683477443946,0.6622268597124896
Endometrial/Uterine Cancer,0.7813348550958149,0.30469106597880624,0.8695226597695909,0.7437006663992736,0.29794467448236783,0.06587517863962411,0.002373075650584114,0.7757225089906123,0.2654333714204926,0.17153916747199888,0.0305802463093301,0.6501578339912331,0.3805867828745704,0.08116526884159665,0.2637095473501412,0.20663834320215319,0.03820901849865884,0.7310385745120243,0.4950600560452396,0.1054485223918959,0.006997085226581306,0.5021146784013018,0.8723986996127842,0.37699450330835127,0.8810134018868232,0.05498318521785998,0.1345826496160396,0.43386203622892283,0.4404527964471071,0.2820821102410566,0.29064871336599374,0.0756498109904618,0.038927265377000565,0.695642376330222,0.14619758715586154,0.5067626240550304
Head and Neck Cancer,0.698002932045465,0.03895813166257283,0.04583123356111759,0.23950906840846142,0.7637656393111105,0.6036674393540851,0.39940956458872723,0.715672629207279,0.16237283181287626,0.42184387561797,0.43331800829865275,0.9845417269491434,0.34266885514735146,0.004458056982667329,0.05970281158080919,0.15434090113804516,0.43031706714045337,0.8160434581236126,0.6373876877105935,0.2070262082644391,0.6741572024666171,0.48224158377655446,0.17425623224424613,0.8938021843730026,0.9553621998932846,0.9356464553053709,0.49455663343179423,0.5540614012210079,0.42692251600323894,0.6030216655993794,0.8649199545149776,0.07292192572278498,0.4256497022345397,0.6189414644121685,0.4890637048008697,0.7662239346637291
AML,0.3660424541095617,0.09016706379574504,0.4478945579433151,0.2595060926220809,0.010825175981410614,0.07375250960493251,0.8472906542071432,0.023607439484838875,0.16515681991690628,0.9161297501351735,0.8674600788223281,0.03080402303520747,0.032484106729713066,0.10899136625445183,0.5866638829946662,0.9878984726602261,0.20607956183447923,0.5143543294801229,0.3105873971119167,0.002072455000925375,0.7964029673512731,0.8564318314555891,0.06660639444333982,0.2596736276130158,0.39296853780418683,0.31450222525409105,0.3328219813746036,0.8108685300024908,0.3840102408469911,0.26481316916616054,0.7578392086549703,0.2181733354286402,0.02589510743287518,0.04229542323064244,0.2485978321605674,0.08207072239593019
CML,0.4670890543863402,0.5563057751029299,0.7379379712336097,0.8099610887157981,0.053717767217167395,0.7260570147627894,0.42503815489214547,0.3735613327078873,0.7514196523258484,0.9865792494806584,0.17393859716506632,0.0330412225454377,0.053717767217167395,0.47649345335133597,0.9466770792643007,0.6514773427962428,0.5321220586935935,0.2664779212005221,0.018573155089460204,0.14965567342083677,0.9602404181286243,0.8810361811618526,0.48877630451924314,0.3654683104386702,0.6875567115411831,0.2930500752928223,0.14965567342083677,0.22911284098281892,0.8548130882487426,0.8548130882487426,0.11730806555020223,0.13833369839449197,0.3654683104386702,0.5795840000000001,0.6514773427962428,0.8287173946974606
Neuroblastoma,0.8628980736949712,0.3305892594121097,0.7787253962454419,0.8700417356355481,0.3523789994544738,0.729194990751066,0.6966831093957659,0.8459309212287789,0.7787253962454419,0.7456094809807079,0.7954145018538977,0.25513775175895714,0.7787253962454419,0.5594023742668166,0.2510947813739973,0.5717012385276553,0.9471894692720089,0.14574576981693316,0.004508435484294225,0.729194990751066,0.8628980736949712,0.026096891052703127,0.04785597684206059,0.602099427786538,0.9741445288204628,0.4432619364501832,0.5868236643627043,0.7456094809807079,0.48445166145539886,0.5567370561768314,0.48445166145539886,0.4407782800181316,0.05858947538856762,0.25926652867631444,0.6330906812462618,0.8459309212287789
